"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"AF-4225","Prunus padus","Trauben-Kirsche, Faulbaum","Büsiseeweg","Affoltern, Friedhof Nordheim","Affoltern","abgestorben","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Prunus padus","Parkbaum","1","POINT (2680592.2 1254130.2)"
"AF-2039","Prunus domestica insititia cv.","Pflaume-Obstgehölz, Sorte unbekannt (Pflaume)","FH Affoltern; Zehntenhausstrasse, 90","Affoltern, Friedhof Nordheim","Affoltern","absterbend","Vitalität (absterbend, abgestorben)","natürlicher Aufwuchs, Gehölzgruppe","Prunus domestica insititia cv.","Parkbaum","2","POINT (2680840.5 1252965.6)"
"AF-3780","Fraxinus excelsior","Gemeine Esche","Glaubtenstrasse, 94-116","Affoltern, Friedhof Nordheim","Affoltern","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","15","POINT (2681100.2 1251859.4)"
"AF-3428","Alnus glutinosa","Schwarz-Erle, Rot-Erle","Katzenseestrasse","Affoltern, Friedhof Nordheim","Affoltern","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus glutinosa","Parkbaum","16","POINT (2679512.5 1253816.4)"
"AR-2155","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","Albisriederstrasse, 330","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer pseudoplatanus","Parkbaum","39","POINT (2679209.8 1247807.6)"
"AR-2235","Betula pendula","Sand-Birke, Weiss-Birke","Albisriederstrasse, 700","Altstetten, Albisrieden","Albisrieden","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Strassenbaum","40","POINT (2678218.8 1247425.4)"
"AL-3812","Thuja occidentalis","Abendländischer Lebensbaum","Am Suteracher, 44","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","41","POINT (2677947.2 1249408.6)"
"AL-3813","Thuja occidentalis","Abendländischer Lebensbaum","Am Suteracher, 44","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Laubbaum","Parkbaum","42","POINT (2677945 1249409.8)"
"AL-61","Sorbus intermedia","Oxelbeere, Schwedische Mehlbeere","Am Suteracher, 46","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Sorbus intermedia","Strassenbaum","43","POINT (2677877.5 1249393)"
"AL-5376","Picea abies","Rottanne, Fichte","Badenerstrasse, 618","Altstetten, Albisrieden","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Picea abies","Parkbaum","44","POINT (2679481.5 1248965.4)"
"AL-3429","Acer platanoides (V)","Spitz-Ahorn (veredelt - grünblättrig)","Badenerstrasse, 627","Altstetten, Albisrieden","Altstetten","Sturmschaden","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Acer platanoides (V)","Parkbaum","45","POINT (2679480.5 1248976.1)"
"AL-1287","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Buckhauserstrasse, 1","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Strassenbaum","46","POINT (2679677.8 1248983)"
"AL-1290","Prunus 'Umineko'","Zier-Kirsche","Buckhauserstrasse, 1","Altstetten, Albisrieden","Altstetten","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Prunus 'Umineko'","Strassenbaum","47","POINT (2679688.8 1249003.9)"
"AL-8535","Quercus petraea","Trauben-Eiche","Buckhauserstrasse","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus petraea","Parkbaum","48","POINT (2679648.8 1248939.4)"
"AL-1377","Crataegus x media 'Paul's Scarlet'","Zweigriffliger Weissdorn (laevigata x monogyna)","Eugen-Huber-Strasse, 12","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Crataegus x media 'Paul's Scarlet'","Strassenbaum","49","POINT (2679038.8 1248764.5)"
"AL-9104","Platanus x hispanica","Platane (occidentalis x orientalis)","Eugen-Huber-Strasse, 54","Altstetten, Albisrieden","Altstetten","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica","Strassenbaum","50","POINT (2678586.5 1248954.9)"
"AR-2242","Robinia pseudoacacia","Robinie, Schein-Akazie","FH Albisrieden; Untermoosstrasse, 31","Altstetten, Albisrieden","Albisrieden","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Robinia pseudoacacia","Parkbaum","51","POINT (2678771.5 1248134.2)"
"AL-3125","Fraxinus excelsior","Gemeine Esche","FH Eichbühl; Friedhofstrasse, 94","Altstetten, Albisrieden","Altstetten","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","52","POINT (2677947.5 1248881.4)"
