"objid","baumnummer","geometry"
"101747","RI-4688","POINT (2686103 1245016.4)"
"127421","RI-1315","POINT (2686000.5 1245082)"
"127391","RI-1673","POINT (2686071.2 1244925.9)"
"127388","RI-1682","POINT (2686083 1244925.1)"
"101630","RI-1135","POINT (2685977.2 1245162.6)"
"127538","RI-1321","POINT (2685974 1245161.6)"
"120044","RI-1660","POINT (2686084 1245009.1)"
"5474","RI-2516","POINT (2685806.5 1245039.1)"
"208400","RI-6352","POINT (2685807.8 1244898)"
"57773","RI-1373","POINT (2686010.5 1245097.1)"
"208451","RI-6442","POINT (2685940.8 1245335.5)"
"204143","RI-5920","POINT (2685760.2 1244911.5)"
"67391","RI-1308","POINT (2686065.8 1244896.9)"
"67397","RI-1307","POINT (2686079.2 1244855.9)"
"127376","RI-1733","POINT (2686118.5 1244908.6)"
"90116","RI-1624","POINT (2686073.2 1244993.9)"
"127409","RI-1150","POINT (2685988.2 1245164.1)"
"89729","RI-1679","POINT (2686070.2 1244962.1)"
"90128","RI-1614","POINT (2686105.2 1245005.9)"
"89723","RI-1677","POINT (2686066.2 1244971)"
"223937","RI-5800","POINT (2685959.5 1245222.9)"
"67385","RI-1310","POINT (2686057.5 1244922)"
"223469","RI-4729","POINT (2686014.5 1245085.1)"
"223979","RI-6331","POINT (2685905.5 1244894.6)"
"223964","RI-6339","POINT (2685865.8 1244925.8)"
"101729","RI-1612","POINT (2686100 1245009.2)"
"89741","RI-1730","POINT (2686110 1244921.2)"
"127520","RI-1616","POINT (2686106.2 1244994.1)"
"127415","RI-1311","POINT (2686011 1245049.9)"
"90404","RI-1636","POINT (2686111.8 1244953.2)"
"175211","RI-4814","POINT (2686082.2 1244982.2)"
"89726","RI-2245","POINT (2686068.2 1244975.6)"
"90122","RI-1623","POINT (2686079.8 1244995.9)"
"89735","RI-4687","POINT (2686095.2 1244920)"
"223481","RI-7140","POINT (2685826.5 1244920.8)"
"67394","RI-1069","POINT (2686074.5 1244871.4)"
"223499","RI-6336","POINT (2685865.5 1244909.5)"
"90035","RI-1628","POINT (2686114.8 1244973.4)"
"89732","RI-1681","POINT (2686076.8 1244937)"
