stn;time;ths2dndv;qths2dndv;th9120dv;qth9120dv;ths200dx;qths200dx;ths200d0;qths200d0;tre200nx;qtre200nx;tre200nn;qtre200nn;tre200dv;qtre200dv;t24200ds;qt24200ds;t18200ds;qt18200ds
SMA;19800101;-0.6;0;-2.3;0;0.3;0;-1.3;0;-0.8;0;-2.5;0;-;-;-;-;-;-
SMA;19800102;-1.3;0;-3.7;0;-1.4;0;-2.7;0;-2.1;0;-3.4;0;-;-;-;-;-;-
SMA;19800103;-1.1;0;-3.3;0;-0.3;0;-2.3;0;-2.1;0;-3.3;0;-;-;-;-;-;-
SMA;19800104;-1.3;0;-2.9;0;3.3;0;-1.9;0;3.3;0;-3.5;0;-;-;-;-;-;-
SMA;19800105;1.8;0;1.5;0;3.7;0;2.4;0;2.6;0;-0.4;0;-;-;-;-;-;-
SMA;19800106;2.4;0;1.3;0;3.6;0;2.2;0;2.8;0;0.1;0;-;-;-;-;-;-
SMA;19800107;2.7;0;0.2;0;2.1;0;1.1;0;0.9;0;0.4;0;-;-;-;-;-;-
SMA;19800108;2.8;0;0.0;0;1.8;0;0.9;0;1.0;0;0.5;0;-;-;-;-;-;-
SMA;19800109;-1.0;0;-2.7;0;0.4;0;-1.8;0;-1.4;0;-3.3;0;-;-;-;-;-;-
SMA;19800110;-1.1;0;-3.7;0;-2.1;0;-2.8;0;-2.6;0;-3.4;0;-;-;-;-;-;-
SMA;19800111;-1.9;0;-4.7;0;-2.9;0;-3.8;0;-3.7;0;-4.1;0;-;-;-;-;-;-
SMA;19800112;-5.1;0;-7.7;0;-5.0;0;-6.8;0;-6.4;0;-7.0;0;-;-;-;-;-;-
SMA;19800113;-4.7;0;-7.1;0;-5.2;0;-6.2;0;-5.3;0;-7.1;0;-;-;-;-;-;-
SMA;19800114;-4.1;0;-6.1;0;-3.4;0;-5.2;0;-3.8;0;-6.5;0;-;-;-;-;-;-
SMA;19800115;-4.4;0;-6.0;0;-3.5;0;-5.1;0;-4.3;0;-6.8;0;-;-;-;-;-;-
SMA;19800116;-5.7;0;-8.7;0;-5.8;0;-7.8;0;-5.8;0;-7.4;0;-;-;-;-;-;-
SMA;19800117;-5.5;0;-6.1;0;-3.8;0;-5.2;0;-3.9;0;-7.9;0;-;-;-;-;-;-
SMA;19800118;-3.1;0;-5.9;0;-3.8;0;-5.0;0;-4.4;0;-5.5;0;-;-;-;-;-;-
SMA;19800119;-4.2;0;-6.1;0;-2.5;0;-5.2;0;-3.6;0;-6.0;0;-;-;-;-;-;-
SMA;19800120;-3.0;0;-5.4;0;-2.0;0;-4.5;0;-3.4;0;-5.4;0;-;-;-;-;-;-
SMA;19800121;-2.1;0;-3.2;0;1.9;0;-2.3;0;1.9;0;-4.5;0;-;-;-;-;-;-
SMA;19800122;1.1;0;0.5;0;2.6;0;1.4;0;2.5;0;-1.3;0;-;-;-;-;-;-
SMA;19800123;2.9;0;2.3;0;6.3;0;3.2;0;3.0;0;0.5;0;-;-;-;-;-;-
SMA;19800124;2.8;0;2.7;0;9.5;0;3.6;0;3.8;0;0.5;0;-;-;-;-;-;-
SMA;19800125;2.6;0;1.2;0;4.5;0;2.1;0;2.9;0;0.3;0;-;-;-;-;-;-
SMA;19800126;1.4;0;-0.7;0;2.3;0;0.2;0;0.4;0;-0.4;0;-;-;-;-;-;-
SMA;19800127;0.2;0;-2.0;0;2.5;0;-1.1;0;-0.9;0;-2.1;0;-;-;-;-;-;-
SMA;19800128;-2.6;0;-3.0;0;1.4;0;-2.1;0;1.4;0;-4.9;0;-;-;-;-;-;-
SMA;19800129;1.7;0;1.3;0;7.3;0;2.2;0;4.0;0;-0.6;0;-;-;-;-;-;-
SMA;19800130;2.1;0;4.6;0;8.9;0;5.5;0;7.7;0;-0.1;0;-;-;-;-;-;-
SMA;19800131;7.0;0;5.7;0;10.8;0;6.6;0;6.8;0;4.8;0;-;-;-;-;-;-
SMA;19800201;3.8;0;2.1;0;5.7;0;3.0;0;2.5;0;4.3;0;-;-;-;-;-;-
SMA;19800202;2.6;0;1.8;0;5.4;0;2.7;0;5.1;0;0.5;0;-;-;-;-;-;-
SMA;19800203;4.0;0;2.7;0;5.8;0;3.6;0;4.9;0;2.3;0;-;-;-;-;-;-
SMA;19800204;4.4;0;4.2;0;10.6;0;5.2;0;10.6;0;2.4;0;-;-;-;-;-;-
SMA;19800205;5.8;0;7.6;0;11.5;0;8.6;0;8.1;0;3.8;0;-;-;-;-;-;-
SMA;19800206;7.7;0;5.3;0;8.3;0;6.3;0;6.5;0;5.9;0;-;-;-;-;-;-
SMA;19800207;5.8;0;3.5;0;5.9;0;4.6;0;4.8;0;4.8;0;-;-;-;-;-;-
SMA;19800208;4.2;0;4.0;0;9.6;0;5.1;0;5.3;0;2.5;0;-;-;-;-;-;-
SMA;19800209;2.8;0;4.2;0;11.5;0;5.4;0;8.4;0;1.1;0;-;-;-;-;-;-
SMA;19800210;6.8;0;5.2;0;8.8;0;6.4;0;6.4;0;5.0;0;-;-;-;-;-;-
SMA;19800211;5.3;0;3.3;0;7.3;0;4.6;0;5.0;0;4.2;0;-;-;-;-;-;-
SMA;19800212;2.7;0;2.1;0;7.6;0;3.5;0;3.7;0;1.0;0;-;-;-;-;-;-
SMA;19800213;-0.3;0;-0.4;0;5.2;0;1.0;0;2.9;0;-1.1;0;-;-;-;-;-;-
SMA;19800214;3.1;0;2.5;0;7.8;0;4.0;0;4.3;0;1.6;0;-;-;-;-;-;-
SMA;19800215;0.9;0;1.5;0;7.2;0;3.1;0;5.6;0;-0.5;0;-;-;-;-;-;-
SMA;19800216;5.4;0;4.7;0;9.3;0;6.4;0;7.1;0;4.0;0;-;-;-;-;-;-
SMA;19800217;4.8;0;2.0;0;4.8;0;3.8;0;3.5;0;4.0;0;-;-;-;-;-;-
