date,station,quartier,temperature
2022-01-01T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.72
2022-01-01T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,14.05
2022-01-01T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.17
2022-01-02T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,12.06
2022-01-02T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,12.61
2022-01-02T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,12.24
2022-01-03T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,15.27
2022-01-03T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,15.88
2022-01-03T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.56
2022-01-04T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.29
2022-01-04T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.27
2022-01-04T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,5.29
2022-01-05T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,2.79
2022-01-05T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,2.67
2022-01-05T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,2.55
2022-01-06T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,3.23
2022-01-06T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,3.41
2022-01-06T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,2.9
2022-01-07T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,4.24
2022-01-07T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,4.6
2022-01-07T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,4.18
2022-01-08T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,4.95
2022-01-08T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,4.97
2022-01-08T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,4.69
2022-01-09T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,3.53
2022-01-09T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,3.24
2022-01-09T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,3.3
2022-01-10T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,3.6
2022-01-10T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,3.96
2022-01-10T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,3.6
2022-01-11T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,1.41
2022-01-11T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,1.52
2022-01-11T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,1.29
2022-01-12T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,1.66
2022-01-12T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,1.83
2022-01-12T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,1.79
2022-01-13T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,4.12
2022-01-13T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,3.99
2022-01-13T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,4.14
