quartier,pflanzjahr,tree_count,crown_sum,total_sum,tree_sum
Affoltern,1983,0,NA,NA,0
Affoltern,1984,0,NA,NA,0
Affoltern,1985,17,116,17,17
Affoltern,1986,0,NA,NA,17
Affoltern,1987,0,NA,NA,17
Affoltern,1988,0,NA,NA,17
Affoltern,1989,0,NA,NA,17
Affoltern,1990,110,924,110,127
Affoltern,1991,0,NA,NA,127
Affoltern,1992,0,NA,NA,127
Affoltern,1993,1,7,1,128
Affoltern,1994,0,NA,NA,128
Affoltern,1995,32,231,32,160
Affoltern,1996,3,19,3,163
Affoltern,1997,1,5,1,164
Affoltern,1998,0,NA,NA,164
Affoltern,1999,0,NA,NA,164
Affoltern,2000,131,930,131,295
Affoltern,2001,0,NA,NA,295
Affoltern,2002,0,NA,NA,295
Affoltern,2003,3,19,3,298
Affoltern,2004,23,105,23,321
Affoltern,2005,47,261,47,368
Affoltern,2006,13,59,13,381
Affoltern,2007,55,302,55,436
Affoltern,2008,93,561,93,529
Affoltern,2009,85,424,85,614
Affoltern,2010,40,176,40,654
Affoltern,2011,281,1468,281,935
Affoltern,2012,66,371,66,1001
Affoltern,2013,68,326,68,1069
Affoltern,2014,35,143,35,1104
Affoltern,2015,49,240,49,1153
Affoltern,2016,45,183,45,1198
Affoltern,2017,44,176,44,1242
Affoltern,2018,72,163,72,1314
Affoltern,2019,176,494,176,1490
Affoltern,2020,56,162,56,1546
Affoltern,2021,142,329,142,1688
Affoltern,2022,178,387,178,1866
Affoltern,2023,0,NA,NA,1866
Albisrieden,1983,0,NA,NA,0
Albisrieden,1984,0,NA,NA,0
Albisrieden,1985,27,208,27,27
Albisrieden,1986,0,NA,NA,27
Albisrieden,1987,0,NA,NA,27
Albisrieden,1988,2,9,2,29
Albisrieden,1989,0,NA,NA,29
Albisrieden,1990,75,546,75,104
Albisrieden,1991,2,9,2,106
Albisrieden,1992,1,10,1,107
Albisrieden,1993,0,NA,NA,107
Albisrieden,1994,0,NA,NA,107
Albisrieden,1995,65,400,65,172
Albisrieden,1996,5,26,5,177
Albisrieden,1997,12,90,12,189
Albisrieden,1998,4,18,4,193
Albisrieden,1999,1,6,1,194
Albisrieden,2000,93,556,93,287
Albisrieden,2001,0,NA,NA,287
Albisrieden,2002,4,21,4,291
Albisrieden,2003,0,NA,NA,291
Albisrieden,2004,55,293,55,346
Albisrieden,2005,48,288,48,394
Albisrieden,2006,18,93,18,412
Albisrieden,2007,42,239,42,454
Albisrieden,2008,34,197,34,488
Albisrieden,2009,41,217,41,529
Albisrieden,2010,28,164,28,557
Albisrieden,2011,13,73,13,570
Albisrieden,2012,57,245,57,627
Albisrieden,2013,52,221,52,679
Albisrieden,2014,15,101,15,694
Albisrieden,2015,15,56,15,709
Albisrieden,2016,28,129,28,737
Albisrieden,2017,30,170,30,767
Albisrieden,2018,19,82,19,786
Albisrieden,2019,17,66,17,803
Albisrieden,2020,20,79,20,823
Albisrieden,2021,66,298,66,889
Albisrieden,2022,103,323,103,992
Albisrieden,2023,0,NA,NA,992
Alt-Wiedikon,1983,0,NA,NA,0
Alt-Wiedikon,1984,0,NA,NA,0
Alt-Wiedikon,1985,23,194,23,23
Alt-Wiedikon,1986,0,NA,NA,23
Alt-Wiedikon,1987,0,NA,NA,23
Alt-Wiedikon,1988,10,80,10,33
Alt-Wiedikon,1989,0,NA,NA,33
Alt-Wiedikon,1990,145,957,145,178
Alt-Wiedikon,1991,0,NA,NA,178
Alt-Wiedikon,1992,0,NA,NA,178
Alt-Wiedikon,1993,0,NA,NA,178
Alt-Wiedikon,1994,0,NA,NA,178
Alt-Wiedikon,1995,11,86,11,189
Alt-Wiedikon,1996,2,14,2,191
Alt-Wiedikon,1997,0,NA,NA,191
Alt-Wiedikon,1998,0,NA,NA,191
Alt-Wiedikon,1999,1,5,1,192
Alt-Wiedikon,2000,31,206,31,223
Alt-Wiedikon,2001,2,10,2,225
Alt-Wiedikon,2002,12,57,12,237
Alt-Wiedikon,2003,12,89,12,249
Alt-Wiedikon,2004,28,170,28,277
Alt-Wiedikon,2005,22,107,22,299
Alt-Wiedikon,2006,86,356,86,385
Alt-Wiedikon,2007,45,225,45,430
Alt-Wiedikon,2008,9,52,9,439
Alt-Wiedikon,2009,24,111,24,463
Alt-Wiedikon,2010,58,153,58,521
Alt-Wiedikon,2011,72,303,72,593
Alt-Wiedikon,2012,23,44,23,616
Alt-Wiedikon,2013,31,115,31,647
Alt-Wiedikon,2014,36,158,36,683
Alt-Wiedikon,2015,98,312,98,781
Alt-Wiedikon,2016,13,33,13,794
Alt-Wiedikon,2017,23,55,23,817
Alt-Wiedikon,2018,33,92,33,850
Alt-Wiedikon,2019,35,114,35,885
Alt-Wiedikon,2020,39,87,39,924
Alt-Wiedikon,2021,48,237,48,972
Alt-Wiedikon,2022,57,108,57,1029
Alt-Wiedikon,2023,0,NA,NA,1029
Altstetten,1983,0,NA,NA,0
Altstetten,1984,0,NA,NA,0
Altstetten,1985,81,931,81,81
Altstetten,1986,15,199,15,96
Altstetten,1987,0,NA,NA,96
Altstetten,1988,0,NA,NA,96
Altstetten,1989,0,NA,NA,96
Altstetten,1990,150,1267,150,246
Altstetten,1991,3,23,3,249
Altstetten,1992,19,187,19,268
Altstetten,1993,2,16,2,270
Altstetten,1994,1,6,1,271
Altstetten,1995,133,918,133,404
Altstetten,1996,13,82,13,417
Altstetten,1997,11,58,11,428
Altstetten,1998,2,14,2,430
Altstetten,1999,0,NA,NA,430
Altstetten,2000,341,2567,341,771
Altstetten,2001,1,6,1,772
Altstetten,2002,19,124,19,791
Altstetten,2003,39,162,39,830
Altstetten,2004,97,471,97,927
Altstetten,2005,86,446,86,1013
Altstetten,2006,53,263,53,1066
Altstetten,2007,56,304,56,1122
Altstetten,2008,35,142,35,1157
Altstetten,2009,99,586,99,1256
Altstetten,2010,202,1032,202,1458
Altstetten,2011,145,670,145,1603
Altstetten,2012,8,44,8,1611
Altstetten,2013,127,670,127,1738
Altstetten,2014,30,107,30,1768
Altstetten,2015,142,432,142,1910
Altstetten,2016,85,380,85,1995
Altstetten,2017,46,213,46,2041
Altstetten,2018,37,154,37,2078
Altstetten,2019,29,139,29,2107
Altstetten,2020,197,717,197,2304
Altstetten,2021,46,190,46,2350
Altstetten,2022,151,667,151,2501
Altstetten,2023,10,80,10,2511
City,1983,1,8,1,1
City,1984,0,NA,NA,1
City,1985,27,242,27,28
City,1986,31,273,31,59
City,1987,0,NA,NA,59
City,1988,3,27,3,62
City,1989,1,12,1,63
City,1990,93,882,93,156
City,1991,4,28,4,160
City,1992,2,18,2,162
City,1993,13,173,13,175
City,1994,3,22,3,178
City,1995,65,540,65,243
City,1996,4,27,4,247
City,1997,0,NA,NA,247
City,1998,9,61,9,256
City,1999,0,NA,NA,256
City,2000,25,191,25,281
City,2001,15,99,15,296
City,2002,10,79,10,306
City,2003,1,7,1,307
City,2004,3,16,3,310
City,2005,51,344,51,361
City,2006,38,235,38,399
City,2007,5,33,5,404
City,2008,9,54,9,413
City,2009,8,29,8,421
City,2010,3,16,3,424
City,2011,3,16,3,427
City,2012,1,3,1,428
City,2013,0,NA,NA,428
City,2014,4,16,4,432
City,2015,2,11,2,434
City,2016,15,70,15,449
City,2017,9,22,9,458
City,2018,0,NA,NA,458
City,2019,8,19,8,466
City,2020,12,18,12,478
City,2021,7,17,7,485
City,2022,15,40,15,500
City,2023,0,NA,NA,500
Enge,1983,2,19,2,2
Enge,1984,7,67,7,9
Enge,1985,119,936,119,128
Enge,1986,22,159,22,150
Enge,1987,28,180,28,178
Enge,1988,16,117,16,194
Enge,1989,22,67,22,216
Enge,1990,214,1230,214,430
Enge,1991,19,128,19,449
Enge,1992,20,144,20,469
Enge,1993,1,8,1,470
Enge,1994,1,8,1,471
Enge,1995,148,874,148,619
Enge,1996,13,106,13,632
Enge,1997,16,110,16,648
Enge,1998,35,254,35,683
Enge,1999,3,21,3,686
Enge,2000,124,726,124,810
Enge,2001,337,734,337,1147
Enge,2002,52,262,52,1199
Enge,2003,38,193,38,1237
Enge,2004,22,110,22,1259
Enge,2005,89,431,89,1348
Enge,2006,30,183,30,1378
Enge,2007,87,428,87,1465
Enge,2008,44,168,44,1509
Enge,2009,10,34,10,1519
Enge,2010,33,191,33,1552
Enge,2011,17,83,17,1569
Enge,2012,38,191,38,1607
Enge,2013,15,52,15,1622
Enge,2014,37,239,37,1659
Enge,2015,26,105,26,1685
Enge,2016,51,179,51,1736
Enge,2017,41,165,41,1777
Enge,2018,112,364,112,1889
Enge,2019,28,83,28,1917
Enge,2020,11,23,11,1928
Enge,2021,25,68,25,1953
Enge,2022,61,128,61,2014
Enge,2023,0,NA,NA,2014
Escher Wyss,1983,0,NA,NA,0
Escher Wyss,1984,0,NA,NA,0
Escher Wyss,1985,39,393,39,39
Escher Wyss,1986,0,NA,NA,39
Escher Wyss,1987,0,NA,NA,39
Escher Wyss,1988,0,NA,NA,39
Escher Wyss,1989,0,NA,NA,39
Escher Wyss,1990,42,431,42,81
Escher Wyss,1991,0,NA,NA,81
Escher Wyss,1992,0,NA,NA,81
Escher Wyss,1993,0,NA,NA,81
Escher Wyss,1994,0,NA,NA,81
Escher Wyss,1995,25,203,25,106
Escher Wyss,1996,0,NA,NA,106
Escher Wyss,1997,0,NA,NA,106
Escher Wyss,1998,0,NA,NA,106
Escher Wyss,1999,0,NA,NA,106
Escher Wyss,2000,36,252,36,142
Escher Wyss,2001,0,NA,NA,142
Escher Wyss,2002,0,NA,NA,142
Escher Wyss,2003,0,NA,NA,142
Escher Wyss,2004,3,13,3,145
Escher Wyss,2005,86,379,86,231
Escher Wyss,2006,8,42,8,239
Escher Wyss,2007,0,NA,NA,239
Escher Wyss,2008,18,56,18,257
Escher Wyss,2009,3,14,3,260
Escher Wyss,2010,156,551,156,416
Escher Wyss,2011,133,412,133,549
Escher Wyss,2012,5,20,5,554
Escher Wyss,2013,9,28,9,563
Escher Wyss,2014,50,147,50,613
Escher Wyss,2015,120,439,120,733
Escher Wyss,2016,13,28,13,746
Escher Wyss,2017,5,11,5,751
Escher Wyss,2018,3,6,3,754
Escher Wyss,2019,1,2,1,755
Escher Wyss,2020,147,556,147,902
Escher Wyss,2021,85,264,85,987
Escher Wyss,2022,16,35,16,1003
Escher Wyss,2023,0,NA,NA,1003
Fluntern,1983,0,NA,NA,0
Fluntern,1984,0,NA,NA,0
Fluntern,1985,7,51,7,7
Fluntern,1986,0,NA,NA,7
Fluntern,1987,0,NA,NA,7
Fluntern,1988,0,NA,NA,7
Fluntern,1989,2,13,2,9
Fluntern,1990,19,131,19,28
Fluntern,1991,4,37,4,32
Fluntern,1992,9,69,9,41
Fluntern,1993,17,94,17,58
Fluntern,1994,4,27,4,62
Fluntern,1995,10,61,10,72
Fluntern,1996,4,28,4,76
Fluntern,1997,7,51,7,83
Fluntern,1998,9,66,9,92
Fluntern,1999,5,32,5,97
Fluntern,2000,24,169,24,121
Fluntern,2001,0,NA,NA,121
Fluntern,2002,1,6,1,122
Fluntern,2003,1,6,1,123
Fluntern,2004,13,65,13,136
Fluntern,2005,15,80,15,151
Fluntern,2006,103,717,103,254
Fluntern,2007,15,69,15,269
Fluntern,2008,9,46,9,278
Fluntern,2009,4,19,4,282
Fluntern,2010,21,84,21,303
Fluntern,2011,16,56,16,319
Fluntern,2012,3,11,3,322
Fluntern,2013,4,16,4,326
Fluntern,2014,2,8,2,328
Fluntern,2015,32,114,32,360
Fluntern,2016,72,223,72,432
Fluntern,2017,12,36,12,444
Fluntern,2018,8,23,8,452
Fluntern,2019,6,18,6,458
Fluntern,2020,17,43,17,475
Fluntern,2021,15,38,15,490
Fluntern,2022,14,28,14,504
Fluntern,2023,0,NA,NA,504
