year,station,quartier,mean_nox
1983,Zch_Stampfenbachstrasse,Rathaus,161.4475358166189
1984,Zch_Stampfenbachstrasse,Rathaus,173.65285310734464
1985,Zch_Stampfenbachstrasse,Rathaus,142.59093750000002
1986,Zch_Stampfenbachstrasse,Rathaus,109.95272727272727
1987,Zch_Stampfenbachstrasse,Rathaus,98.34681818181818
1988,Zch_Schimmelstrasse,Sihlfeld,113.25228873239436
1988,Zch_Stampfenbachstrasse,Rathaus,94.9104432132964
1989,Zch_Schimmelstrasse,Sihlfeld,129.25433566433566
1989,Zch_Stampfenbachstrasse,Rathaus,102.67856733524356
1990,Zch_Schimmelstrasse,Sihlfeld,116.38798219584571
1990,Zch_Stampfenbachstrasse,Rathaus,82.34588235294119
1991,Zch_Schimmelstrasse,Sihlfeld,125.08501466275659
1991,Zch_Stampfenbachstrasse,Rathaus,74.22397759103642
1992,Zch_Schimmelstrasse,Sihlfeld,111.56772594752186
1992,Zch_Stampfenbachstrasse,Rathaus,71.54643454038997
1993,Zch_Schimmelstrasse,Sihlfeld,104.5600849858357
1993,Zch_Stampfenbachstrasse,Rathaus,62.56096685082873
1994,Zch_Schimmelstrasse,Sihlfeld,96.13424242424243
1994,Zch_Stampfenbachstrasse,Rathaus,56.1318904109589
1995,Zch_Schimmelstrasse,Sihlfeld,92.3428729281768
1995,Zch_Stampfenbachstrasse,Rathaus,54.39181058495821
1996,Zch_Schimmelstrasse,Sihlfeld,88.37418732782369
1996,Zch_Stampfenbachstrasse,Rathaus,53.80221917808219
1997,Zch_Schimmelstrasse,Sihlfeld,90.81274238227147
1997,Zch_Stampfenbachstrasse,Rathaus,53.50415730337078
1998,Zch_Schimmelstrasse,Sihlfeld,85.72405633802816
1998,Zch_Stampfenbachstrasse,Rathaus,49.46405479452054
1999,Zch_Schimmelstrasse,Sihlfeld,81.35898630136987
1999,Zch_Stampfenbachstrasse,Rathaus,48.79126721763086
2000,Zch_Schimmelstrasse,Sihlfeld,94.30369627507163
2000,Zch_Stampfenbachstrasse,Rathaus,44.646648199445984
2001,Zch_Schimmelstrasse,Sihlfeld,71.52855555555556
