quartier,cum_trees2,year
Affoltern,17,1985
Affoltern,127,1990
Affoltern,128,1993
Affoltern,160,1995
Affoltern,163,1996
Affoltern,164,1997
Affoltern,295,2000
Affoltern,298,2003
Affoltern,321,2004
Affoltern,368,2005
Affoltern,381,2006
Affoltern,436,2007
Affoltern,529,2008
Affoltern,614,2009
Affoltern,654,2010
Affoltern,935,2011
Affoltern,1001,2012
Affoltern,1069,2013
Affoltern,1104,2014
Affoltern,1153,2015
Affoltern,1198,2016
Affoltern,1242,2017
Affoltern,1314,2018
Affoltern,1490,2019
Affoltern,1546,2020
Affoltern,1688,2021
Affoltern,1866,2022
Albisrieden,1,1981
Albisrieden,2,1982
Albisrieden,29,1985
Albisrieden,31,1988
Albisrieden,106,1990
Albisrieden,108,1991
Albisrieden,109,1992
Albisrieden,174,1995
Albisrieden,179,1996
Albisrieden,191,1997
Albisrieden,195,1998
Albisrieden,196,1999
Albisrieden,289,2000
Albisrieden,293,2002
Albisrieden,348,2004
Albisrieden,396,2005
Albisrieden,414,2006
Albisrieden,456,2007
Albisrieden,490,2008
Albisrieden,531,2009
Albisrieden,559,2010
Albisrieden,572,2011
Albisrieden,629,2012
Albisrieden,681,2013
Albisrieden,696,2014
Albisrieden,711,2015
Albisrieden,739,2016
Albisrieden,769,2017
Albisrieden,788,2018
Albisrieden,805,2019
Albisrieden,825,2020
Albisrieden,891,2021
Albisrieden,994,2022
Alt-Wiedikon,1,1981
Alt-Wiedikon,24,1985
Alt-Wiedikon,34,1988
Alt-Wiedikon,179,1990
Alt-Wiedikon,190,1995
Alt-Wiedikon,192,1996
Alt-Wiedikon,193,1999
Alt-Wiedikon,224,2000
Alt-Wiedikon,226,2001
Alt-Wiedikon,238,2002
Alt-Wiedikon,250,2003
Alt-Wiedikon,278,2004
Alt-Wiedikon,300,2005
Alt-Wiedikon,386,2006
Alt-Wiedikon,431,2007
Alt-Wiedikon,440,2008
Alt-Wiedikon,464,2009
Alt-Wiedikon,522,2010
Alt-Wiedikon,594,2011
Alt-Wiedikon,617,2012
Alt-Wiedikon,648,2013
Alt-Wiedikon,684,2014
Alt-Wiedikon,782,2015
Alt-Wiedikon,795,2016
Alt-Wiedikon,818,2017
Alt-Wiedikon,851,2018
Alt-Wiedikon,886,2019
Alt-Wiedikon,925,2020
Alt-Wiedikon,973,2021
Alt-Wiedikon,1030,2022
Altstetten,81,1985
Altstetten,96,1986
Altstetten,246,1990
Altstetten,249,1991
Altstetten,268,1992
Altstetten,270,1993
Altstetten,271,1994
Altstetten,404,1995
Altstetten,417,1996
Altstetten,428,1997
Altstetten,430,1998
Altstetten,771,2000
Altstetten,772,2001
Altstetten,791,2002
Altstetten,830,2003
Altstetten,927,2004
Altstetten,1013,2005
Altstetten,1066,2006
Altstetten,1122,2007
Altstetten,1157,2008
Altstetten,1256,2009
Altstetten,1458,2010
Altstetten,1603,2011
Altstetten,1611,2012
Altstetten,1738,2013
Altstetten,1768,2014
Altstetten,1910,2015
Altstetten,1995,2016
Altstetten,2041,2017
Altstetten,2078,2018
Altstetten,2107,2019
Altstetten,2304,2020
Altstetten,2350,2021
Altstetten,2501,2022
Altstetten,2511,2023
City,8,1981
City,9,1983
City,36,1985
City,67,1986
City,70,1988
City,71,1989
City,164,1990
City,168,1991
City,170,1992
City,183,1993
City,186,1994
City,251,1995
City,255,1996
City,264,1998
City,289,2000
City,304,2001
City,314,2002
City,315,2003
City,318,2004
City,369,2005
City,407,2006
City,412,2007
City,421,2008
City,429,2009
City,432,2010
City,435,2011
City,436,2012
City,440,2014
City,442,2015
City,457,2016
City,466,2017
City,474,2019
City,486,2020
City,493,2021
City,508,2022
Enge,73,1981
Enge,119,1982
Enge,121,1983
Enge,128,1984
Enge,247,1985
Enge,269,1986
Enge,297,1987
Enge,313,1988
Enge,335,1989
Enge,549,1990
Enge,568,1991
Enge,588,1992
Enge,589,1993
Enge,590,1994
Enge,738,1995
Enge,751,1996
Enge,767,1997
Enge,802,1998
Enge,805,1999
Enge,929,2000
Enge,1266,2001
Enge,1318,2002
Enge,1356,2003
Enge,1378,2004
Enge,1467,2005
Enge,1497,2006
Enge,1584,2007
Enge,1628,2008
Enge,1638,2009
Enge,1671,2010
Enge,1688,2011
Enge,1726,2012
Enge,1741,2013
Enge,1778,2014
Enge,1804,2015
Enge,1855,2016
Enge,1896,2017
Enge,2008,2018
Enge,2036,2019
Enge,2047,2020
Enge,2072,2021
Enge,2133,2022
Escher Wyss,39,1985
Escher Wyss,81,1990
Escher Wyss,106,1995
Escher Wyss,142,2000
Escher Wyss,145,2004
Escher Wyss,231,2005
Escher Wyss,239,2006
Escher Wyss,257,2008
Escher Wyss,260,2009
Escher Wyss,416,2010
Escher Wyss,549,2011
Escher Wyss,554,2012
Escher Wyss,563,2013
Escher Wyss,613,2014
Escher Wyss,733,2015
Escher Wyss,746,2016
Escher Wyss,751,2017
Escher Wyss,754,2018
Escher Wyss,755,2019
Escher Wyss,902,2020
Escher Wyss,987,2021
